Player,Sheet,IL Sheet,RTA Sheet,Standards,Benchmarks,Bronze,Silver,Gold,Medals,Date
AS_Money,28,23,5,22,12,0,0,0,0,2021-10-01
AdomHaMez,16,15,1,1,0,0,0,0,0,2021-10-01
Bace,25,24,1,4,0,0,0,0,0,2021-10-01
Bert86,10,10,0,10,5,0,0,0,0,2021-10-01
Bunta,6,6,0,2,0,0,0,0,0,2021-10-01
CD_84,2,2,0,2,0,0,0,0,0,2021-10-01
Caseywho,2,2,0,2,0,0,0,0,0,2021-10-01
DJ-Cat,24,24,0,0,0,0,0,0,0,2021-10-01
Dangerless,1,0,1,0,0,0,0,0,0,2021-10-01
DeeEddy,2,2,0,0,0,0,0,0,0,2021-10-01
EliminatorJr,1,1,0,0,0,0,0,0,0,2021-10-01
FPScanada,5,5,0,0,0,0,0,0,0,2021-10-01
Game,24,24,0,24,23,13,0,1,14,2021-10-01
GhillieGuide,26,21,5,10,1,0,0,0,0,2021-10-01
GooglyEyes,2,2,0,2,0,0,0,0,0,2021-10-01
HeroProc,3,2,1,2,0,0,0,0,0,2021-10-01
HighestLevelWizard,2,2,0,0,0,0,0,0,0,2021-10-01
Illudude,15,14,1,13,12,3,2,2,7,2021-10-01
Ipsum86,8,7,1,0,0,0,0,0,0,2021-10-01
JJ,2,0,2,0,0,0,0,0,0,2021-10-01
JimB,20,19,1,0,0,0,0,0,0,2021-10-01
KingSolomon,1,1,0,0,0,0,0,0,0,2021-10-01
KoiIroHoshi,26,24,2,18,4,0,0,0,0,2021-10-01
Lucehboii,1,1,0,0,0,0,0,0,0,2021-10-01
MDK1,16,15,1,12,9,0,0,0,0,2021-10-01
MMW,2,2,0,0,0,0,0,0,0,2021-10-01
Mahrla,24,24,0,0,0,0,0,0,0,2021-10-01
Maple_Hood,11,10,1,2,0,0,0,0,0,2021-10-01
MasterLemmon,1,0,1,0,0,0,0,0,0,2021-10-01
MeridianPrime,1,0,1,0,0,0,0,0,0,2021-10-01
MetalHead,29,24,5,20,14,2,1,0,3,2021-10-01
MortimerNova,1,1,0,0,0,0,0,0,0,2021-10-01
